study,number,sampleSize,treatment,responders
3,Chen_2018,87,Norepinephrine,5
3,Chen_2018,30,Control,0
4,Chen_2020,97,Norepinephrine,4
4,Chen_2020,98,Control,3
5,Chen_2021,80,Norepinephrine,6
5,Chen_2021,19,Control,1
6,Chen_2022,50,Norepinephrine,3
6,Chen_2022,50,Phenylephrine,15
9,Das_2011,31,Phenylephrine,6
9,Das_2011,33,Ephedrine,2
10,de_Aragão_2014,30,Metaraminol,3
10,de_Aragão_2014,30,Phenylephrine,3
10,de_Aragão_2014,30,Ephedrine,0
12,Dong_2024,40,Norepinephrine,2
12,Dong_2024,40,Control,6
13,Du_2022,31,Norepinephrine,7
13,Du_2022,31,Phenylephrine,20
14,Epinephrineskandr_2021,25,Phenylephrine,4
14,Epinephrineskandr_2021,25,Norepinephrine,2
14,Epinephrineskandr_2021,25,Ephedrine,0
15,Feng_2020,71,Phenylephrine,2
15,Feng_2020,74,Norepinephrine,1
15,Feng_2020,78,Control,0
17,Goel_2021,100,Phenylephrine,1
17,Goel_2021,100,Norepinephrine,16
19,Guo_2024,140,Norepinephrine,6
19,Guo_2024,35,Control,0
20,Gupta_2023,35,Ephedrine,0
20,Gupta_2023,35,Control,0
21,Hasanin_2019,60,Norepinephrine,8
21,Hasanin_2019,63,Phenylephrine,13
24,Jain_2016,45,Ephedrine,0
24,Jain_2016,45,Phenylephrine,6
26,Liu_2022,26,Phenylephrine,2
26,Liu_2022,26,Norepinephrine,0
26,Liu_2022,26,Metaraminol,0
27,Mahajan_2009,28,Ephedrine,0
27,Mahajan_2009,28,Metaraminol,0
27,Mahajan_2009,28,Phenylephrine,7
28,McDonell_2017,95,Phenylephrine,44
28,McDonell_2017,90,Metaraminol,34
29,Mohta_2010,30,Phenylephrine,7
29,Mohta_2010,30,Metaraminol,0
30,Mohta_2025,30,Mephentermine,0
30,Mohta_2025,30,Norepinephrine,1
31,Mon_2017,20,Phenylephrine,7
31,Mon_2017,20,Ephedrine,0
32,Moslemi_2015,30,Phenylephrine,17
32,Moslemi_2015,27,Ephedrine,7
33,Munroz_2015,44,Ephedrine,1
33,Munroz_2015,36,Phenylephrine,0
35,Ngan_Kee_2008,24,Phenylephrine,3
35,Ngan_Kee_2008,25,Ephedrine,1
36,Ngan_Kee_2009,52,Phenylephrine,6
36,Ngan_Kee_2009,52,Ephedrine,0
37,Ngan_Kee_2015,52,Phenylephrine,29
37,Ngan_Kee_2015,49,Norepinephrine,9
39,Palanisamy_2022,75,Phenylephrine,5
39,Palanisamy_2022,75,Control,0
41,Priya_2023,78,Norepinephrine,3
41,Priya_2023,78,Phenylephrine,17
42,Raguramane_2025,53,Phenylephrine,6
42,Raguramane_2025,53,Control,2
43,Ravichandrane_2023,65,Phenylephrine,8
43,Ravichandrane_2023,65,Norepinephrine,7
44,Singh_2018,30,Ephedrine,0
44,Singh_2018,30,Phenylephrine,9
45,Singh_2022_(1),30,Phenylephrine,13
45,Singh_2022_(1),30,Norepinephrine,6
46,Singh_2022_(2),50,Norepinephrine,0
46,Singh_2022_(2),50,Phenylephrine,1
47,Sun_2024,90,Norepinephrine,1
47,Sun_2024,93,Phenylephrine,8
48,Theodoraki_2020,41,Norepinephrine,2
48,Theodoraki_2020,41,Phenylephrine,13
49,Vallego_2017,38,Phenylephrine,9
49,Vallego_2017,43,Norepinephrine,8
51,Wang_2020,40,Ephedrine,2
51,Wang_2020,40,Phenylephrine,9
52,Wu_2024,30,Norepinephrine,3
52,Wu_2024,30,Phenylephrine,7
53,Xiao_2021,80,Metaraminol,20
53,Xiao_2021,20,Control,3
54,Xu_2019,48,Norepinephrine,5
54,Xu_2019,49,Ephedrine,4
55,Yadav_2012,50,Phenylephrine,4
55,Yadav_2012,50,Ephedrine,1
56,Zhou_2022,25,Metaraminol,1
56,Zhou_2022,25,Phenylephrine,3
56,Zhou_2022,25,Norepinephrine,0
